,设备号,统计日期,二级目录,影片名称,观看开始时间,观看结束时间,用户号,观看时长
17477,10532,20170923,精彩点,使徒行者2,2017-09-23 10:00:04,2017-09-23 10:01:41,10394,97.0
17478,10537,20170926,免费睇,杜拉拉升职记,2017-09-26 19:51:34,2017-09-26 19:55:01,11155,207.0
17479,10538,20170711,精彩点,07月08日 我想和你唱 第二季：萧敬腾被爆撩妹有绝招,2017-07-11 18:22:13,2017-07-11 19:05:14,10751,2581.0
17480,10538,20170711,精彩点,07月08日 我想和你唱 第二季：萧敬腾被爆撩妹有绝招,2017-07-11 19:05:08,2017-07-11 19:56:38,10751,3090.0
17481,10538,20170718,精彩点,我的前半生,2017-07-18 12:05:43,2017-07-18 12:10:35,10751,292.0
17482,10538,20170718,精彩点,我的前半生,2017-07-18 12:10:33,2017-07-18 12:54:22,10751,2629.0
17483,10538,20170718,精彩点,我的前半生,2017-07-18 12:54:20,2017-07-18 13:39:09,10751,2689.0
17484,10538,20170805,精彩点,流行教母,2017-08-05 11:48:53,2017-08-05 13:48:55,10751,7202.0
17486,10538,20170816,精彩点,楚乔传,2017-08-16 17:58:52,2017-08-16 18:36:47,10751,2275.0
17487,10538,20170816,精彩点,楚乔传,2017-08-16 18:36:46,2017-08-16 19:35:43,10751,3537.0
17488,10538,20170816,精彩点,楚乔传,2017-08-16 15:34:32,2017-08-16 16:58:55,10751,5063.0
17489,10538,20170816,精彩点,楚乔传,2017-08-16 13:50:45,2017-08-16 14:05:10,10751,865.0
17490,10538,20170816,精彩点,楚乔传,2017-08-16 12:58:35,2017-08-16 13:50:38,10751,3123.0
17491,10538,20170816,精彩点,楚乔传,2017-08-16 14:34:16,2017-08-16 15:34:23,10751,3607.0
17492,10538,20170816,精彩点,楚乔传,2017-08-16 19:35:42,2017-08-16 20:13:42,10751,2280.0
17493,10538,20170816,精彩点,楚乔传,2017-08-16 16:59:01,2017-08-16 17:58:53,10751,3592.0
17494,10538,20170816,精彩点,诱饵新娘,2017-08-16 12:39:30,2017-08-16 12:58:37,10751,1147.0
17495,10538,20170816,精彩点,楚乔传,2017-08-16 14:05:11,2017-08-16 14:34:18,10751,1747.0
17497,10538,20170817,精彩点,楚乔传,2017-08-17 22:50:11,2017-08-17 22:51:15,10751,64.0
17498,10538,20170817,精彩点,同盟,2017-08-17 22:51:14,2017-08-17 23:39:24,10751,2890.0
17499,10538,20170819,精彩点,楚乔传,2017-08-19 14:05:33,2017-08-19 14:33:49,10751,1696.0
17500,10538,20170819,精彩点,楚乔传,2017-08-19 12:49:43,2017-08-19 13:05:13,10751,930.0
17501,10538,20170819,精彩点,楚乔传,2017-08-19 11:30:41,2017-08-19 11:42:37,10751,716.0
17502,10538,20170819,精彩点,楚乔传,2017-08-19 14:33:47,2017-08-19 15:01:28,10751,1661.0
17503,10538,20170819,精彩点,楚乔传,2017-08-19 13:05:12,2017-08-19 13:35:42,10751,1830.0
17504,10538,20170819,精彩点,楚乔传,2017-08-19 12:19:25,2017-08-19 12:49:46,10751,1821.0
17505,10538,20170819,精彩点,楚乔传,2017-08-19 13:35:41,2017-08-19 14:05:35,10751,1794.0
17506,10538,20170819,精彩点,楚乔传,2017-08-19 11:42:36,2017-08-19 12:19:27,10751,2211.0
17507,10538,20170828,精彩点,男人不可以穷,2017-08-28 11:47:55,2017-08-28 13:03:46,10751,4551.0
17509,10538,20170829,精彩点,08月26日 中餐厅：周冬雨迎主厨挑战,2017-08-29 11:47:45,2017-08-29 13:26:38,10751,5933.0
17510,10538,20170830,精彩点,08月27日 极限挑战 第三季：张艺兴雪耻重振皮革厂,2017-08-30 12:49:59,2017-08-30 13:56:45,10751,4006.0
17511,10538,20170902,精彩点,绝世高手,2017-09-02 12:34:39,2017-09-02 14:32:59,10751,7100.0
17513,10538,20170903,精彩点,阿嬷的梦中情人,2017-09-03 13:12:42,2017-09-03 15:13:40,10751,7258.0
17515,10538,20170917,精彩点,猩球崛起,2017-09-17 16:32:04,2017-09-17 18:11:38,10751,5974.0
17516,10538,20170917,精彩点,猩球崛起2：黎明之战,2017-09-17 20:17:00,2017-09-17 22:20:58,10751,7438.0
17519,10538,20170921,精彩点,冲锋战警,2017-09-21 12:49:29,2017-09-21 14:12:34,10751,4985.0
17521,10538,20170923,精彩点,暗恋99天,2017-09-23 11:17:46,2017-09-23 12:56:06,10751,5900.0
17523,10538,20170925,热点专题,超凡蜘蛛侠2,2017-09-25 13:09:49,2017-09-25 14:11:00,10751,3671.0
17524,10539,20170731,精彩点,机械师,2017-07-31 08:19:42,2017-07-31 09:46:35,11099,5213.0
17526,10539,20170731,精彩点,赛琳娜,2017-07-31 09:49:02,2017-07-31 11:41:49,11099,6767.0
17528,10539,20170905,动漫剧场,捷德奥特曼,2017-09-05 17:45:00,2017-09-05 21:22:08,11099,13028.0
17529,10539,20170923,动漫剧场,捷德奥特曼,2017-09-22 22:02:58,2017-09-23 00:56:09,11099,10391.0
17530,10539,20170923,动漫剧场,捷德奥特曼,2017-09-23 08:03:19,2017-09-23 08:31:29,11099,1690.0
17531,10540,20170705,精彩点,深夜食堂,2017-07-05 00:06:39,2017-07-05 00:14:53,10939,494.0
17532,10540,20170705,热点专题,变形金刚2 ,2017-07-05 00:14:51,2017-07-05 00:40:37,10939,1546.0
17534,10540,20170707,精彩点,道士下山,2017-07-06 23:37:18,2017-07-07 00:44:38,10939,4040.0
17536,10540,20170709,精彩点,激战,2017-07-08 03:26:52,2017-07-09 01:52:45,10939,80753.0
17538,10540,20170709,精彩点,赌城群英会,2017-07-09 02:36:52,2017-07-09 03:17:27,10939,2435.0
17539,10540,20170709,精彩点,赌城群英会,2017-07-09 01:54:42,2017-07-09 02:36:19,10939,2497.0
17540,10540,20170710,精彩点,赌城群英会,2017-07-10 04:05:41,2017-07-10 04:47:52,10939,2531.0
17541,10540,20170710,精彩点,南太平洋：奇异的岛屿,2017-07-10 19:34:29,2017-07-10 20:56:53,10939,4944.0
17542,10540,20170710,精彩点,赌城群英会,2017-07-10 22:23:53,2017-07-10 23:05:54,10939,2521.0
17543,10540,20170710,精彩点,赌城群英会,2017-07-10 21:02:08,2017-07-10 21:08:27,10939,379.0
17544,10540,20170710,精彩点,赌城群英会,2017-07-10 14:54:53,2017-07-10 15:10:17,10939,924.0
17545,10540,20170710,精彩点,赌城群英会,2017-07-10 15:10:06,2017-07-10 15:52:02,10939,2516.0
17546,10540,20170710,精彩点,赌城群英会,2017-07-10 23:05:52,2017-07-10 23:48:18,10939,2546.0
17547,10540,20170710,精彩点,赌城群英会,2017-07-10 15:52:15,2017-07-10 19:31:17,10939,13142.0
17548,10540,20170710,精彩点,赌城群英会,2017-07-10 04:47:52,2017-07-10 14:54:41,10939,36409.0
17549,10540,20170710,精彩点,赌城群英会,2017-07-10 03:28:34,2017-07-10 04:05:43,10939,2229.0
17550,10540,20170710,精彩点,大军师司马懿之军师联盟,2017-07-10 20:57:56,2017-07-10 21:02:10,10939,254.0
17551,10540,20170710,精彩点,赌城群英会,2017-07-10 19:31:23,2017-07-10 19:34:30,10939,187.0
17552,10540,20170710,精彩点,赌城群英会,2017-07-10 21:08:26,2017-07-10 22:23:48,10939,4522.0
17553,10540,20170711,热点专题,斗牛,2017-07-11 02:02:41,2017-07-11 03:05:14,10939,3753.0
17554,10540,20170711,热点专题,斗牛,2017-07-11 03:05:15,2017-07-11 03:52:21,10939,2826.0
17555,10540,20170711,精彩点,赌城群英会,2017-07-11 17:36:02,2017-07-11 18:23:57,10939,2875.0
17557,10540,20170711,热点专题,港?？高清),2017-07-10 23:48:36,2017-07-11 02:02:22,10939,8026.0
17558,10540,20170711,精彩点,赌城群英会,2017-07-11 19:16:20,2017-07-11 19:58:28,10939,2528.0
17559,10540,20170711,精彩点,仲夏夜魔法,2017-07-11 22:19:28,2017-07-11 23:47:21,10939,5273.0
17563,10540,20170711,精彩点,赌城群英会,2017-07-11 18:24:10,2017-07-11 19:06:43,10939,2553.0
17564,10540,20170711,精彩点,赌城群英会,2017-07-11 17:34:55,2017-07-11 17:36:03,10939,68.0
17565,10540,20170711,精彩点,赌城群英会,2017-07-11 19:58:27,2017-07-11 20:41:00,10939,2553.0
17566,10540,20170712,精彩点,傲慢与偏见与僵尸,2017-07-11 23:47:20,2017-07-12 14:44:37,10939,53837.0
17568,10540,20170713,精彩点,赌城群英会,2017-07-13 02:36:30,2017-07-13 03:12:02,10939,2132.0
17569,10540,20170713,精彩点,赌城群英会,2017-07-13 01:55:02,2017-07-13 02:35:11,10939,2409.0
17570,10540,20170713,今日上线,赌城群英会,2017-07-13 03:12:00,2017-07-13 03:54:04,10939,2524.0
17571,10540,20170713,精彩点,赌城群英会,2017-07-13 02:35:10,2017-07-13 02:36:31,10939,81.0
17572,10540,20170713,精彩点,赌城群英会,2017-07-13 00:50:22,2017-07-13 00:51:40,10939,78.0
17573,10540,20170713,精彩点,赌城群英会,2017-07-13 01:13:49,2017-07-13 01:55:03,10939,2474.0
17574,10540,20170713,精彩点,赌城群英会,2017-07-13 00:51:38,2017-07-13 01:12:54,10939,1276.0
17575,10540,20170714,精彩点,射雕英雄传,2017-07-13 03:54:24,2017-07-14 01:22:37,10939,77293.0
17576,10540,20170714,今日上线,赌城群英会,2017-07-14 01:23:00,2017-07-14 02:12:17,10939,2957.0
17577,10540,20170715,热点专题,疯狂的石头,2017-07-14 15:55:46,2017-07-15 00:18:15,10939,30149.0
17579,10540,20170716,精彩点,变种章鲨,2017-07-16 03:40:22,2017-07-16 03:45:51,10939,329.0
17580,10540,20170716,热点专题,假装情侣,2017-07-16 03:45:50,2017-07-16 04:18:26,10939,1956.0
17583,10540,20170716,精彩点,赌城群英会,2017-07-16 02:12:59,2017-07-16 02:55:45,10939,2566.0
17584,10540,20170716,今日上线,赌城群英会,2017-07-16 02:55:44,2017-07-16 03:38:17,10939,2553.0
17585,10540,20170716,精彩点,赌城群英会,2017-07-16 02:11:39,2017-07-16 02:13:01,10939,82.0
17586,10540,20170717,精彩点,越狱 第一季,2017-07-17 22:16:07,2017-07-17 22:20:22,10939,255.0
17587,10540,20170717,精彩点,特别呈现：传家,2017-07-17 03:38:40,2017-07-17 03:52:42,10939,842.0
17588,10540,20170717,精彩点,赌城群英会,2017-07-17 02:46:43,2017-07-17 02:50:15,10939,212.0
17589,10540,20170717,精彩点,万象：动物幼儿园,2017-07-17 02:50:14,2017-07-17 03:13:11,10939,1377.0
17590,10540,20170717,精彩点,越狱 第一季,2017-07-17 22:20:21,2017-07-17 23:27:22,10939,4021.0
17591,10540,20170717,精彩点,越狱 第一季,2017-07-17 14:09:10,2017-07-17 22:15:28,10939,29178.0
17592,10540,20170717,精彩点,九层妖塔,2017-07-16 04:18:24,2017-07-17 02:46:20,10939,80876.0
17593,10540,20170717,精彩点,越狱 第一季,2017-07-17 03:52:41,2017-07-17 14:09:01,10939,36980.0
17594,10540,20170717,精彩点,万象：动物幼儿园,2017-07-17 03:13:18,2017-07-17 03:38:41,10939,1523.0
17596,10540,20170719,热点专题,怪兽电力公司,2017-07-19 02:20:48,2017-07-19 02:22:57,10939,129.0
17597,10540,20170719,今日上线,赌城群英会,2017-07-19 01:39:52,2017-07-19 02:20:49,10939,2457.0
17598,10540,20170719,热点专题,阿童木,2017-07-19 03:57:10,2017-07-19 03:59:07,10939,117.0
17599,10540,20170719,热点专题,怪兽大学,2017-07-19 02:22:55,2017-07-19 03:57:11,10939,5656.0
17603,10540,20170721,热点专题,我叫MT之山口山战记,2017-07-21 01:17:08,2017-07-21 02:46:00,10939,5332.0
17604,10540,20170721,精彩点,赌城群英会,2017-07-20 01:19:23,2017-07-21 01:15:15,10939,86152.0
17606,10540,20170721,精彩点,赌城群英会,2017-07-21 01:15:22,2017-07-21 01:17:10,10939,108.0
17607,10540,20170723,精彩点,赌城群英会,2017-07-23 02:39:26,2017-07-23 03:20:49,10939,2483.0
17608,10540,20170723,精彩点,赌城群英会,2017-07-23 03:20:47,2017-07-23 04:03:34,10939,2567.0
17609,10540,20170724,精彩点,赌城群英会,2017-07-23 04:03:40,2017-07-24 01:28:00,10939,77060.0
17610,10540,20170730,精彩点,伪装天使,2017-07-30 22:45:06,2017-07-30 23:50:23,10939,3917.0
17612,10540,20170731,精彩点,赌城群英会,2017-07-31 00:17:31,2017-07-31 00:57:34,10939,2403.0
17613,10540,20170731,精彩点,流氓皇帝,2017-07-31 03:01:39,2017-07-31 15:01:46,10939,43207.0
17614,10540,20170731,精彩点,赌城群英会,2017-07-31 02:21:03,2017-07-31 03:01:40,10939,2437.0
17615,10540,20170731,精彩点,伪装天使,2017-07-30 23:50:22,2017-07-31 00:16:42,10939,1580.0
17617,10540,20170731,精彩点,阿爷厨房2,2017-07-31 15:02:10,2017-07-31 15:27:13,10939,1503.0
17618,10540,20170731,精彩点,赌城群英会,2017-07-31 01:39:18,2017-07-31 02:21:04,10939,2506.0
17619,10540,20170731,精彩点,赌城群英会,2017-07-31 00:57:32,2017-07-31 01:39:19,10939,2507.0
17620,10540,20170801,精彩点,流氓皇帝,2017-08-01 02:48:38,2017-08-01 13:37:01,10939,38903.0
17621,10540,20170801,精彩点,流氓皇帝,2017-08-01 13:37:06,2017-08-01 15:17:52,10939,6046.0
17622,10540,20170801,精彩点,流氓皇帝,2017-08-01 15:18:33,2017-08-01 15:57:53,10939,2360.0
17623,10540,20170801,精彩点,流氓皇帝,2017-08-01 15:57:52,2017-08-01 16:40:36,10939,2564.0
17624,10540,20170801,精彩点,流氓皇帝,2017-08-01 01:23:44,2017-08-01 02:06:26,10939,2562.0
17625,10540,20170801,精彩点,阿爷厨房2,2017-08-01 00:42:38,2017-08-01 01:02:56,10939,1218.0
17626,10540,20170801,精彩点,流氓皇帝,2017-08-01 16:40:35,2017-08-01 23:25:25,10939,24290.0
17627,10540,20170801,精彩点,阿爷厨房2,2017-08-01 01:02:55,2017-08-01 01:23:46,10939,1251.0
17628,10540,20170801,精彩点,流氓皇帝,2017-08-01 02:06:25,2017-08-01 02:48:39,10939,2534.0
17629,10540,20170801,精彩点,阿爷厨房2,2017-07-31 15:27:45,2017-08-01 00:22:09,10939,32064.0
17630,10540,20170801,精彩点,阿爷厨房2,2017-08-01 00:22:16,2017-08-01 00:42:39,10939,1223.0
17631,10540,20170802,精彩点,流氓皇帝,2017-08-02 00:37:15,2017-08-02 01:21:27,10939,2652.0
17632,10540,20170802,精彩点,流氓皇帝,2017-08-02 13:11:54,2017-08-02 13:54:34,10939,2560.0
17633,10540,20170802,精彩点,赌城群英会,2017-08-02 01:21:39,2017-08-02 02:03:59,10939,2540.0
17634,10540,20170802,精彩点,流氓皇帝,2017-08-02 13:54:32,2017-08-02 15:47:19,10939,6767.0
17635,10540,20170802,精彩点,流氓皇帝,2017-08-02 02:03:57,2017-08-02 13:11:36,10939,40059.0
17636,10540,20170802,精彩点,流氓皇帝,2017-08-01 23:25:36,2017-08-02 00:37:09,10939,4293.0
17637,10540,20170805,精彩点,赌城群英会,2017-08-05 02:32:33,2017-08-05 03:17:21,10939,2688.0
17638,10540,20170805,精彩点,赌城群英会,2017-08-05 01:08:06,2017-08-05 01:50:05,10939,2519.0
17639,10540,20170805,精彩点,赌城群英会,2017-08-05 01:51:09,2017-08-05 02:32:34,10939,2485.0
17641,10540,20170808,精彩点,赌城群英会,2017-08-08 13:31:39,2017-08-08 14:10:44,10939,2345.0
17642,10540,20170809,精彩点,超时空男臣,2017-08-09 22:06:05,2017-08-09 22:49:16,10939,2591.0
17643,10540,20170809,精彩点,超时空男臣,2017-08-09 01:57:41,2017-08-09 03:18:55,10939,4874.0
17644,10540,20170809,精彩点,超时空男臣,2017-08-09 04:00:34,2017-08-09 17:43:32,10939,49378.0
17645,10540,20170809,精彩点,超时空男臣,2017-08-09 18:37:23,2017-08-09 19:14:24,10939,2221.0
17646,10540,20170809,精彩点,超时空男臣,2017-08-09 19:59:35,2017-08-09 20:42:26,10939,2571.0
17647,10540,20170809,精彩点,超时空男臣,2017-08-09 21:22:32,2017-08-09 22:06:01,10939,2609.0
17648,10540,20170809,精彩点,超时空男臣,2017-08-09 20:42:24,2017-08-09 21:22:33,10939,2409.0
17650,10540,20170809,精彩点,超时空男臣,2017-08-09 22:49:36,2017-08-09 23:32:01,10939,2545.0
17651,10540,20170809,精彩点,超时空男臣,2017-08-09 17:43:46,2017-08-09 18:33:52,10939,3006.0
17653,10540,20170809,精彩点,超时空男臣,2017-08-08 14:12:06,2017-08-09 00:17:44,10939,36338.0
17655,10540,20170809,精彩点,超时空男臣,2017-08-09 19:14:22,2017-08-09 19:59:25,10939,2703.0
17656,10540,20170809,精彩点,超时空男臣,2017-08-09 01:15:32,2017-08-09 01:57:42,10939,2530.0
17658,10540,20170809,精彩点,超时空男臣,2017-08-09 18:33:51,2017-08-09 18:37:24,10939,213.0
17659,10540,20170809,精彩点,超时空男臣,2017-08-09 03:19:03,2017-08-09 04:00:36,10939,2493.0
17660,10540,20170810,精彩点,维多利亚的秘密：2009时尚内衣秀,2017-08-10 22:35:32,2017-08-10 23:19:01,10939,2609.0
17661,10540,20170810,精彩点,超时空男臣,2017-08-10 01:38:06,2017-08-10 02:07:36,10939,1770.0
17662,10540,20170810,精彩点,超时空男臣,2017-08-10 03:13:16,2017-08-10 03:52:26,10939,2350.0
17663,10540,20170810,精彩点,超时空男臣,2017-08-10 12:27:06,2017-08-10 13:08:28,10939,2482.0
17664,10540,20170810,精彩点,超时空男臣,2017-08-10 02:07:35,2017-08-10 02:30:09,10939,1354.0
17665,10540,20170810,精彩点,超时空男臣,2017-08-10 13:08:27,2017-08-10 21:19:25,10939,29458.0
17666,10540,20170810,精彩点,超时空男臣,2017-08-10 02:30:14,2017-08-10 03:12:56,10939,2562.0
17667,10540,20170810,精彩点,超时空男臣,2017-08-10 04:29:45,2017-08-10 11:40:39,10939,25854.0
17668,10540,20170810,精彩点,超时空男臣,2017-08-10 11:40:43,2017-08-10 12:26:58,10939,2775.0
17669,10540,20170810,精彩点,维多利亚的秘密：2012时尚内衣秀,2017-08-10 21:53:33,2017-08-10 22:35:09,10939,2496.0
17670,10540,20170810,精彩点,超时空男臣,2017-08-10 03:52:41,2017-08-10 04:29:46,10939,2225.0
17673,10540,20170810,精彩点,阿爷厨房2,2017-08-10 21:21:34,2017-08-10 21:43:08,10939,1294.0
17674,10540,20170810,精彩点,超时空男臣,2017-08-10 01:01:15,2017-08-10 01:37:57,10939,2202.0
17677,10540,20170810,精彩点,超时空男臣,2017-08-09 23:32:16,2017-08-10 00:18:00,10939,2744.0
17679,10540,20170810,精彩点,超时空男臣,2017-08-10 00:18:24,2017-08-10 01:01:02,10939,2558.0
17680,10540,20170810,今日上线,DIVE!!,2017-08-10 21:44:28,2017-08-10 21:53:35,10939,547.0
17681,10540,20170811,精彩点,踩过界,2017-08-11 21:30:00,2017-08-11 22:13:29,10939,2609.0
17682,10540,20170811,精彩点,超时空男臣,2017-08-11 03:38:57,2017-08-11 14:23:39,10939,38682.0
17683,10540,20170811,精彩点,超时空男臣,2017-08-11 19:04:50,2017-08-11 20:05:43,10939,3653.0
17684,10540,20170811,精彩点,超时空男臣,2017-08-11 20:06:03,2017-08-11 20:48:01,10939,2518.0
17685,10540,20170811,精彩点,07月26日 金星秀：揭秘网红模特发家史,2017-08-10 23:19:19,2017-08-11 00:47:10,10939,5271.0
17686,10540,20170811,精彩点,踩过界,2017-08-11 22:13:28,2017-08-11 22:57:21,10939,2633.0
17687,10540,20170811,精彩点,踩过界,2017-08-11 20:48:00,2017-08-11 21:30:02,10939,2522.0
17688,10540,20170812,精彩点,我的前半生,2017-08-12 21:01:14,2017-08-12 21:41:09,10939,2395.0
17689,10540,20170812,精彩点,我的前半生,2017-08-12 17:32:38,2017-08-12 18:13:16,10939,2438.0
17690,10540,20170812,精彩点,我的前半生,2017-08-12 16:51:53,2017-08-12 17:32:40,10939,2447.0
17691,10540,20170812,精彩点,我的前半生,2017-08-12 23:04:40,2017-08-12 23:46:10,10939,2490.0
17692,10540,20170812,精彩点,我的前半生,2017-08-12 19:38:30,2017-08-12 20:20:26,10939,2516.0
17693,10540,20170812,精彩点,我的前半生,2017-08-12 18:13:29,2017-08-12 18:55:13,10939,2504.0
17694,10540,20170812,精彩点,我的前半生,2017-08-12 16:09:53,2017-08-12 16:51:41,10939,2508.0
17695,10540,20170812,精彩点,我的前半生,2017-08-12 18:55:11,2017-08-12 19:38:31,10939,2600.0
17696,10540,20170812,精彩点,我的前半生,2017-08-12 21:41:16,2017-08-12 22:23:52,10939,2556.0
17697,10540,20170812,精彩点,我的前半生,2017-08-12 22:23:50,2017-08-12 23:04:33,10939,2443.0
17698,10540,20170812,精彩点,我的前半生,2017-08-12 20:20:32,2017-08-12 21:01:16,10939,2444.0
17699,10540,20170813,精彩点,我的前半生,2017-08-13 20:49:51,2017-08-13 21:30:08,10939,2417.0
17700,10540,20170813,精彩点,我的前半生,2017-08-13 17:13:16,2017-08-13 17:55:24,10939,2528.0
17701,10540,20170813,精彩点,我的前半生,2017-08-13 18:36:58,2017-08-13 19:17:22,10939,2424.0
17702,10540,20170813,精彩点,我的前半生,2017-08-13 04:59:26,2017-08-13 17:13:05,10939,44019.0
17703,10540,20170813,精彩点,我的前半生,2017-08-13 17:55:22,2017-08-13 18:05:11,10939,589.0
17704,10540,20170813,精彩点,我的前半生,2017-08-13 22:51:42,2017-08-13 23:40:38,10939,2936.0
17705,10540,20170813,精彩点,我的前半生,2017-08-13 18:05:09,2017-08-13 18:36:59,10939,1910.0
17706,10540,20170813,精彩点,我的前半生,2017-08-12 23:46:08,2017-08-13 02:13:49,10939,8861.0
17707,10540,20170813,精彩点,我的前半生,2017-08-13 21:30:06,2017-08-13 22:10:14,10939,2408.0
17708,10540,20170813,精彩点,我的前半生,2017-08-13 20:07:58,2017-08-13 20:49:43,10939,2505.0
17709,10540,20170813,精彩点,我的前半生,2017-08-13 22:10:22,2017-08-13 22:51:44,10939,2482.0
17710,10540,20170813,精彩点,我的前半生,2017-08-13 19:17:20,2017-08-13 20:08:00,10939,3040.0
17711,10540,20170816,精彩点,赌城群英会大结局,2017-08-16 02:38:32,2017-08-16 03:18:23,10939,2391.0
17712,10540,20170816,精彩点,超时空男臣,2017-08-16 03:18:43,2017-08-16 23:51:39,10939,73976.0
17713,10540,20170817,精彩点,舌尖上的澳大利亚,2017-08-17 00:47:13,2017-08-17 01:01:58,10939,885.0
17714,10540,20170817,精彩点,舌尖上的澳大利亚,2017-08-17 00:17:01,2017-08-17 00:47:01,10939,1800.0
17715,10540,20170817,精彩点,澳门风云2,2017-08-17 02:50:57,2017-08-17 02:53:24,10939,147.0
17716,10540,20170817,精彩点,澳门风云2,2017-08-17 02:53:59,2017-08-17 02:55:37,10939,98.0
17717,10540,20170817,精彩点,豪华爱漫游：圣地亚哥,2017-08-17 01:01:56,2017-08-17 01:05:49,10939,233.0
17718,10540,20170817,精彩点,踩过界,2017-08-17 02:40:38,2017-08-17 02:50:59,10939,621.0
17719,10540,20170817,精彩点,阿爷厨房2,2017-08-17 16:14:25,2017-08-17 16:17:31,10939,186.0
17721,10540,20170817,精彩点,超时空男臣,2017-08-17 01:58:16,2017-08-17 02:40:39,10939,2543.0
17722,10540,20170817,精彩点,08月02日 金星秀：吴越饰演第三者被骂惨,2017-08-17 02:55:36,2017-08-17 04:14:03,10939,4707.0
17723,10540,20170817,精彩点,七分钟,2017-08-17 01:05:48,2017-08-17 01:58:18,10939,3150.0
17725,10540,20170817,精彩点,阿爷厨房2,2017-08-17 15:47:52,2017-08-17 16:13:07,10939,1515.0
17726,10540,20170817,精彩点,08月09日 金星秀：雷佳音魔性笑声遭调侃,2017-08-17 04:14:01,2017-08-17 15:47:23,10939,41602.0
17727,10540,20170817,精彩点,自然：自然界中的超级大盗,2017-08-16 23:56:36,2017-08-17 00:17:03,10939,1227.0
17729,10540,20170818,精彩点,假期，假期，假期：冬日仙境：圣莫里茨,2017-08-18 02:00:21,2017-08-18 12:50:09,10939,38988.0
17730,10540,20170818,精彩点,阿爷厨房2,2017-08-18 00:04:50,2017-08-18 00:25:03,10939,1213.0
17731,10540,20170818,精彩点,阿爷厨房2,2017-08-17 23:43:39,2017-08-18 00:04:39,10939,1260.0
17732,10540,20170818,精彩点,阿爷厨房2,2017-08-18 00:25:01,2017-08-18 00:45:48,10939,1247.0
17737,10540,20170818,精彩点,真相：极致玩家？这才是世界,2017-08-18 01:37:08,2017-08-18 01:38:14,10939,66.0
17738,10540,20170818,精彩点,超时空男臣,2017-08-18 00:45:46,2017-08-18 01:35:29,10939,2983.0
17739,10540,20170818,精彩点,假期，假期，假期：巴塞罗那的豪华之旅,2017-08-18 01:38:12,2017-08-18 01:59:29,10939,1277.0
17741,10540,20170821,精彩点,超时空男臣,2017-08-20 03:45:43,2017-08-21 00:34:44,10939,74941.0
17742,10540,20170821,精彩点,08月13日 向上吧诗词：诗意青春 见证诗词英雄蜕变,2017-08-21 00:35:30,2017-08-21 00:59:58,10939,1468.0
17743,10540,20170821,精彩点,发现：天上王陵,2017-08-21 15:12:38,2017-08-21 15:55:02,10939,2544.0
17744,10540,20170821,精彩点,超时空男臣,2017-08-21 02:08:02,2017-08-21 02:50:52,10939,2570.0
17745,10540,20170821,精彩点,发现：天上王陵,2017-08-21 03:40:19,2017-08-21 15:12:31,10939,41532.0
17746,10540,20170821,精彩点,超时空男臣,2017-08-21 00:59:57,2017-08-21 01:29:27,10939,1770.0
17747,10540,20170821,精彩点,超时空男臣,2017-08-21 01:29:25,2017-08-21 02:08:04,10939,2319.0
17748,10540,20170821,精彩点,寰宇视野：昆虫界的野蛮军团-织叶蚁,2017-08-21 02:51:46,2017-08-21 03:40:20,10939,2914.0
17749,10540,20170822,精彩点,真相：极限黑暗,2017-08-22 13:08:31,2017-08-22 13:36:22,10939,1671.0
17750,10540,20170822,精彩点,特别呈现：我在故宫修文物,2017-08-22 22:40:28,2017-08-22 22:54:06,10939,818.0
17751,10540,20170822,精彩点,特别呈现：我在故宫修文物,2017-08-22 13:36:51,2017-08-22 22:40:29,10939,32618.0
17752,10540,20170823,精彩点,特别呈现：我在故宫修文物,2017-08-23 00:36:36,2017-08-23 01:27:31,10939,3055.0
17753,10540,20170823,精彩点,万象：猫的秘密生活-猫眼看世界,2017-08-22 23:37:53,2017-08-23 00:36:14,10939,3501.0
17754,10540,20170824,精彩点,虎胆龙威1,2017-08-23 03:58:13,2017-08-24 00:07:24,10939,72551.0
17756,10540,20170825,精彩点,超时空男臣,2017-08-25 01:44:07,2017-08-25 01:45:45,10939,98.0
17757,10540,20170825,精彩点,寰宇视野：致命任务 极地之旅,2017-08-25 01:45:43,2017-08-25 01:47:01,10939,78.0
17758,10540,20170825,精彩点,味道中国,2017-08-25 00:24:02,2017-08-25 01:44:09,10939,4807.0
17760,10540,20170825,精彩点,时代：疯狂摄影师？心之极,2017-08-25 01:47:00,2017-08-25 01:52:59,10939,359.0
17761,10540,20170825,精彩点,时代：疯狂摄影师？深蓝,2017-08-25 01:52:58,2017-08-25 02:17:07,10939,1449.0
17762,10540,20170825,精彩点,时代：疯狂摄影师？天梯,2017-08-25 02:43:16,2017-08-25 03:07:51,10939,1475.0
17763,10540,20170825,精彩点,时代：疯狂摄影师？飞越死亡之湖,2017-08-25 02:17:53,2017-08-25 02:43:17,10939,1524.0
17764,10540,20170826,精彩点,时代：疯狂摄影师？天梯,2017-08-25 03:07:59,2017-08-26 01:29:42,10939,80503.0
17765,10540,20170828,精彩点,超时空男臣,2017-08-28 03:51:46,2017-08-28 19:59:51,10939,58085.0
17766,10540,20170829,精彩点,时代：边缘世界的捕鱼人,2017-08-29 13:55:42,2017-08-29 13:59:29,10939,227.0
